datetime,predicted load,actual load
2018-08-03 03:15:00,378.1513671875,399.412
2018-08-03 03:30:00,376.9470520019531,393.508
2018-08-03 03:45:00,376.3034362792969,391.58
2018-08-03 04:00:00,376.0530090332031,388.772
2018-08-03 04:15:00,375.74163818359375,390.464
2018-08-03 04:30:00,376.21502685546875,394.24
2018-08-03 04:45:00,376.2236633300781,394.064
2018-08-03 05:00:00,378.3751220703125,392.104
2018-08-03 05:15:00,380.1038818359375,394.24
2018-08-03 05:30:00,386.95281982421875,401.968
2018-08-03 05:45:00,393.01837158203125,407.1
2018-08-03 06:00:00,402.7716064453125,417.68800000000016
2018-08-03 06:15:00,414.62701416015625,424.18800000000016
2018-08-03 06:30:00,424.84722900390625,429.376
2018-08-03 06:45:00,425.9414367675781,463.632
2018-08-03 07:00:00,434.6263427734375,444.272
2018-08-03 07:15:00,436.7060241699219,445.628
2018-08-03 07:30:00,439.3828430175781,446.824
2018-08-03 07:45:00,429.3367614746094,446.62
2018-08-03 08:00:00,432.92926025390625,439.192
2018-08-03 08:15:00,431.4731140136719,423.268
2018-08-03 08:30:00,438.3397216796875,432.128
2018-08-03 08:45:00,444.4488525390625,439.504
2018-08-03 09:00:00,448.32781982421875,444.596
2018-08-03 09:15:00,451.260498046875,460.836
2018-08-03 09:30:00,463.3702392578125,468.912
2018-08-03 09:45:00,467.170654296875,473.06
2018-08-03 10:00:00,470.0780944824219,474.608
2018-08-03 10:15:00,470.8552551269531,473.84
2018-08-03 10:30:00,469.5578308105469,466.68800000000016
2018-08-03 10:45:00,470.2415466308594,468.836
2018-08-03 11:00:00,473.56805419921875,480.576
2018-08-03 11:15:00,469.8402099609375,469.364
2018-08-03 11:30:00,474.74676513671875,471.952
2018-08-03 11:45:00,472.2138671875,469.788
2018-08-03 12:00:00,467.94451904296875,476.276
2018-08-03 12:15:00,469.2073974609375,476.3
2018-08-03 12:30:00,469.44830322265625,459.708
2018-08-03 12:45:00,471.4530029296875,457.532
2018-08-03 13:00:00,465.8577880859375,466.756
2018-08-03 13:15:00,458.61492919921875,459.536
2018-08-03 13:30:00,457.93792724609375,461.468
2018-08-03 13:45:00,461.0104675292969,459.444
2018-08-03 14:00:00,464.0763244628906,460.004
2018-08-03 14:15:00,460.2996520996094,453.82
2018-08-03 14:30:00,462.2213439941406,443.98
2018-08-03 14:45:00,463.2266540527344,426.46
2018-08-03 15:00:00,463.9095153808594,445.34
2018-08-03 15:15:00,462.0486755371094,439.716
2018-08-03 15:30:00,461.6819763183594,447.628
2018-08-03 15:45:00,460.916015625,468.96
2018-08-03 16:00:00,462.791259765625,478.344
2018-08-03 16:15:00,462.88031005859375,478.768
2018-08-03 16:30:00,457.5624084472656,485.356
2018-08-03 16:45:00,454.9432067871094,483.812
2018-08-03 17:00:00,458.4111633300781,478.304
2018-08-03 17:15:00,457.3748474121094,478.876
2018-08-03 17:30:00,460.94512939453125,479.572
